item_id,sales
3122135,140
3031354,63
2964774,62
1910706,61
1116492,60
2560262,58
1415828,50
257772,48
3964583,48
3237415,47
1034594,46
3189426,45
740947,44
1535294,39
5051027,39
1168232,39
1813380,38
4443059,38
3503155,38
2790543,38
1344014,37
5062984,36
4161852,36
11517,35
1095113,35
4499425,35
5122568,34
1595279,34
5067020,34
2267309,33
1042152,33
1444258,33
5140357,32
1074025,32
3879906,32
3452114,32
4401268,32
3677861,32
4374565,32
3557522,32
3142142,31
4438744,31
2101968,31
2127137,30
2955846,30
2974129,30
4489811,30
3950877,30
267531,30
265985,30
4260261,30
2565270,30
3637124,29
5111041,29
2090799,29
3685477,29
2583697,29
3251377,28
3006495,28
3739420,28
1553774,28
829406,28
1744531,28
264220,28
4024409,28
403950,27
213747,27
4534266,27
1861309,27
5079196,27
1838487,27
4703651,27
222342,27
4458366,26
3652676,26
1728241,26
4126884,26
4245608,26
5006577,25
2638099,25
3015666,25
223790,25
1684440,25
1369460,25
3997963,25
2091937,25
1141196,24
1854236,24
3919004,24
4479636,24
3899581,24
4568476,24
756578,24
5136894,24
1009464,24
3844798,24
2220235,23
3810981,23
2988047,23
2078176,23
3224386,23
1875315,23
1048127,23
5086213,23
2744492,23
781519,23
4719949,23
1250064,23
4063028,23
289566,23
2577764,23
1092652,23
1168346,23
4227358,23
4210587,22
3242045,22
4632023,22
3421766,22
246715,22
4262924,22
951352,22
3691417,22
793577,22
1004046,22
10108,22
1142386,22
4360347,21
3855789,21
4544013,21
2822939,21
2902703,21
4610151,21
955544,21
1138,21
447253,21
258311,21
258372,21
571131,21
2859111,21
4848388,21
555181,21
3765279,21
301639,21
726505,21
575277,21
176798,20
314500,20
3031863,20
609649,20
2261537,20
4041131,20
3869715,20
3696026,20
76038,20
237909,20
2230312,20
4014543,20
1506778,20
4717894,20
4011044,20
550355,20
4352587,20
2661469,20
232919,20
3542877,20
2072383,20
674193,20
4029727,20
2700523,20
60802,20
2667139,20
3057515,20
3593342,19
3497027,19
1553835,19
3485136,19
260643,19
4978574,19
3974260,19
4927282,19
4454651,19
4171965,19
3147410,19
3523958,19
4522344,19
2621260,19
4554918,19
1497171,19
4994254,19
2663450,19
2314769,19
3033663,19
4992519,19
4997111,19
3991727,19
121226,19
1883901,19
3186790,19
1402604,19
1622731,19
2659235,19
2780055,19
320169,19
1678519,18
4554568,18
395399,18
1212654,18
4521158,18
5111655,18
1985722,18
4846705,18
4071470,18
403792,18
4157341,18
1411566,18
3526242,18
284053,18
698543,18
5069556,18
4718133,18
3033982,18
1320123,18
788629,18
1044710,18
3956425,18
1397311,18
4667268,18
507611,18
1262448,18
2076430,18
2167765,18
3233798,18
3145337,18
1852050,18
5114494,17
2805466,17
759857,17
4576843,17
1334594,17
3582893,17
2918960,17
2902853,17
3385506,17
896080,17
714739,17
3904448,17
692968,17
1694466,17
3753199,17
5076029,17
1428951,17
4261030,17
794120,17
2853944,17
1937071,17
1421689,17
5026407,17
561662,17
4852424,17
2325438,17
363858,17
4955650,17
4707369,17
3412803,17
1078710,17
3677595,17
5161884,17
3101480,17
2006438,17
2890904,17
2477759,17
929135,17
1403028,17
4734690,17
1845247,17
2815020,16
3774738,16
4219087,16
1377716,16
4126091,16
2377974,16
4810522,16
1149686,16
266305,16
552868,16
2381894,16
2967582,16
3788767,16
4945303,16
2143304,16
3351723,16
3594656,16
284882,16
1562036,16
3828459,16
4038767,16
104735,16
2507213,16
4848915,16
1546753,16
705557,16
4009222,16
3500631,16
3826932,16
796975,16
2828518,16
4474759,16
3757664,16
2290512,16
114355,16
3563468,16
1184689,16
3792151,16
1832493,16
3244134,16
120487,16
1828299,16
2667082,16
4309220,16
3684640,16
2620385,16
1452939,15
3388117,15
4401463,15
127488,15
3715112,15
582970,15
3216149,15
2120489,15
180935,15
1790667,15
2508148,15
4322829,15
48995,15
1633923,15
1097114,15
4750976,15
2543947,15
3978531,15
973198,15
5067173,15
3618277,15
154610,15
2799125,15
2486445,15
1059132,15
3591220,15
1083002,15
565426,15
468606,15
2162950,15
2240359,15
2535248,15
3529774,15
2485096,15
2781428,15
1269579,15
4900412,15
5036903,15
297504,15
3633611,15
671147,15
2580440,15
4370251,15
4543267,15
771878,15
4496488,15
1045382,15
2304016,15
3461455,15
2091818,15
2899675,15
4755482,15
1119173,15
2122416,15
174891,15
605057,15
2573430,15
1883768,15
465433,14
1168728,14
7521,14
2601044,14
2865381,14
259923,14
4457400,14
5035053,14
143803,14
309462,14
2850795,14
968355,14
651374,14
2112532,14
527568,14
2971425,14
3123241,14
2485480,14
3458317,14
1355829,14
69656,14
2992622,14
243390,14
2453685,14
4865312,14
2061699,14
2284378,14
5027281,14
4756886,14
2901263,14
75120,14
2657558,14
1636256,14
1255166,14
1232663,14
636065,14
693361,14
4216747,14
2165016,14
2444790,14
2879295,14
611478,14
676683,14
2790653,14
1386654,14
1853155,14
3377603,14
4940506,14
2333548,14
4792038,14
1655491,14
2480494,14
3243661,14
1692072,14
4386164,14
3082836,14
191709,14
4971109,14
4936898,14
4147422,14
2732511,14
2481552,14
1382649,14
4923964,14
3568555,13
4352300,13
2739898,13
4196768,13
2713904,13
2437517,13
3822552,13
3806784,13
4960142,13
4978005,13
2703355,13
3876466,13
619271,13
2331370,13
5118314,13
3158247,13
3677049,13
3990741,13
4441862,13
2217254,13
495057,13
3502062,13
3711345,13
2199057,13
274924,13
260496,13
2505709,13
4263070,13
3681606,13
2853367,13
4259427,13
2753529,13
2216143,13
1569965,13
4203288,13
3864597,13
4664336,13
1067950,13
1865669,13
5057288,13
2279428,13
52487,13
577682,13
4626061,13
4961929,13
524909,13
4848076,13
1437156,13
4272899,13
1438728,13
519942,13
4303577,13
4551433,13
4158392,13
4268151,13
2298066,13
3678468,13
4642353,13
1433831,13
1460382,13
3015712,13
518544,13
3441548,13
554088,13
4278338,13
4772812,13
252626,13
3639010,13
347712,13
1489535,13
4116723,13
547137,13
2426097,13
2582726,13
4142409,13
619538,13
356493,13
724262,13
331334,13
4676678,13
2075478,13
3845548,13
4081196,13
2292075,13
42870,13
3264274,13
1279315,13
2162722,13
2236861,13
2584896,13
1699047,12
1486733,12
370819,12
4634635,12
1714137,12
3533500,12
846250,12
2474985,12
1581139,12
716388,12
3403515,12
3014483,12
1493764,12
630778,12
1399650,12
316612,12
745433,12
5020473,12
3595409,12
1958243,12
3017816,12
2134602,12
509605,12
2879067,12
1941574,12
4115393,12
3845476,12
2521928,12
24120,12
2312248,12
3215156,12
1510514,12
4891981,12
4773596,12
1845474,12
4902194,12
2588261,12
1958054,12
4818203,12
1912873,12
1813024,12
1258453,12
755843,12
2084022,12
1201994,12
2715942,12
140247,12
4681909,12
1713641,12
44202,12
4788671,12
2345617,12
4490966,12
1301197,12
2704930,12
3508705,12
2639048,12
344968,12
714906,12
2979334,12
2527109,12
1708318,12
72449,12
3823922,12
4062582,12
711782,12
4016601,12
3599005,12
2682781,12
3736086,12
4061696,12
4364400,12
1759582,12
5009684,12
4126038,12
733396,12
1554781,12
4343969,12
1615503,12
4172459,12
1329288,12
3012274,12
4417412,12
3159978,12
2780643,12
2281374,12
3496399,12
2686244,12
3329950,12
931971,11
2661210,11
1027272,11
2036420,11
3615043,11
2384772,11
1581980,11
3372003,11
1660550,11
2765909,11
1005979,11
1961583,11
3687513,11
2886733,11
72977,11
133211,11
3564339,11
4003740,11
4829107,11
3562114,11
1364525,11
2995315,11
702871,11
2565165,11
1253533,11
1739432,11
3492055,11
3432952,11
3493501,11
1441864,11
1624042,11
1874863,11
3265014,11
1969473,11
4250427,11
371769,11
4252365,11
2699523,11
343692,11
87843,11
3419397,11
4468517,11
3866112,11
2046560,11
141261,11
1892478,11
615553,11
343971,11
2343757,11
1331682,11
4246247,11
4587532,11
33086,11
1523499,11
1922127,11
3002644,11
5139402,11
1397603,11
3298016,11
4354880,11
1925177,11
1447842,11
2017420,11
3285937,11
1224652,11
3305159,11
2491788,11
401240,11
3350364,11
2900723,11
1750706,11
2856386,11
85380,11
2801764,11
2030856,11
1881013,11
3768957,11
4361086,11
1120162,11
219239,11
4254354,11
4566571,11
2032855,11
4387640,11
3429482,11
3906181,11
2472592,11
3128611,11
2958874,11
2310233,11
1111378,11
4702640,11
2278329,11
4886347,11
4089028,11
2315069,11
2221704,11
2934068,11
438670,11
2921471,11
1369272,11
59335,11
4411964,11
2332155,11
602041,11
4282175,11
317193,11
4920109,11
3246820,11
2508159,11
2396907,11
2999092,11
1102976,11
756251,10
1950799,10
3459820,10
4692913,10
4076594,10
3397177,10
4892813,10
426759,10
2739161,10
4252236,10
935594,10
1196035,10
382797,10
1887479,10
3824831,10
4513717,10
3698966,10
1423593,10
3662993,10
2027792,10
4718804,10
3587569,10
3520476,10
635495,10
4082554,10
1310925,10
2256302,10
1220546,10
4379992,10
1570535,10
1963057,10
4736400,10
3244515,10
409868,10
2847583,10
3194620,10
2713939,10
4852928,10
1911169,10
3514268,10
1223314,10
2598738,10
743414,10
2257257,10
4840649,10
985089,10
1406896,10
1614618,10
2125182,10
1280072,10
3572504,10
1992652,10
4574184,10
3004746,10
2412183,10
2885622,10
4637707,10
453196,10
369324,10
372615,10
1220233,10
2386343,10
4274539,10
655571,10
351205,10
2924618,10
4491804,10
3841470,10
1197030,10
4632976,10
